Average Episodic Reward,Average Episodic N-Reward
27553.947424155416,27553.947424155416
27555.2516030143,27555.2516030143
27761.739845214415,27761.739845214415
27479.786222879105,27479.786222879105
27763.771897604678,27763.771897604678
27593.390002414464,27593.390002414464
27690.434838822504,27690.434838822504
27620.03575674862,27620.03575674862
27679.67228218838,27679.67228218838
27755.60166747404,27755.60166747404
27400.06920606834,27400.06920606834
27667.68334545317,27667.68334545317
27402.127939145823,27402.127939145823
27393.738660410643,27393.738660410643
27573.740951808606,27573.740951808606
27538.862980001668,27538.862980001668
27791.84018362543,27791.84018362543
27850.083714365115,27850.083714365115
27770.011419179715,27770.011419179715
27739.626897132086,27739.626897132086
27850.961133433706,27850.961133433706
27531.330838803555,27531.330838803555
27841.00506390669,27841.00506390669
27848.913227170975,27848.913227170975
27568.260413722448,27568.260413722448
27581.497909422826,27581.497909422826
27690.035595567137,27690.035595567137
27650.699855318555,27650.699855318555
27847.149183473433,27847.149183473433
27660.792225591686,27660.792225591686
27666.071644087355,27666.071644087355
27848.972907350744,27848.972907350744
27718.92836872329,27718.92836872329
28056.47933080753,28056.47933080753
27775.846690368275,27775.846690368275
27771.647472869536,27771.647472869536
27768.058653446078,27768.058653446078
27678.140480342106,27678.140480342106
27825.578848942987,27825.578848942987
27589.925720810013,27589.925720810013
27918.890049416394,27918.890049416394
27753.254239153983,27753.254239153983
27708.100204129576,27708.100204129576
27706.743109049487,27706.743109049487
27539.935417598957,27539.935417598957
27721.310477786054,27721.310477786054
27348.897570192254,27348.897570192254
27648.712497206354,27648.712497206354
27507.638269371204,27507.638269371204
27810.393171448974,27810.393171448974
27886.951776328027,27886.951776328027
27703.265020583425,27703.265020583425
27880.91552851959,27880.91552851959
27765.450911096425,27765.450911096425
27654.42439976139,27654.42439976139
27767.18410886814,27767.18410886814
27594.68052742224,27594.68052742224
27725.31672791322,27725.31672791322
27655.161038441638,27655.161038441638
27816.91475107364,27816.91475107364
27789.673017494337,27789.673017494337
27694.587728509832,27694.587728509832
27935.59221582266,27935.59221582266
27671.172560544146,27671.172560544146
27988.68929025247,27988.68929025247
27701.397619452946,27701.397619452946
27774.3290549963,27774.3290549963
27683.898708715067,27683.898708715067
27799.178455009594,27799.178455009594
27723.46881253924,27723.46881253924
27739.931709742785,27739.931709742785
27704.693462970736,27704.693462970736
27689.06658383822,27689.06658383822
27770.858474386445,27770.858474386445
27676.40527562862,27676.40527562862
27801.85794886888,27801.85794886888
27519.00653415903,27519.00653415903
27747.083793993523,27747.083793993523
27720.172759750403,27720.172759750403
27824.077348330193,27824.077348330193
27562.69099280986,27562.69099280986
27647.017556281473,27647.017556281473
27645.398799560502,27645.398799560502
27542.83090244468,27542.83090244468
27641.07339445626,27641.07339445626
27762.75968367828,27762.75968367828
27599.39921755842,27599.39921755842
27886.927507229568,27886.927507229568
27800.272233952022,27800.272233952022
27450.83474729375,27450.83474729375
27688.585633332474,27688.585633332474
27580.02733538992,27580.02733538992
27997.0103116474,27997.0103116474
27785.10346182348,27785.10346182348
27643.871318504618,27643.871318504618
27729.601501150046,27729.601501150046
27720.431752459033,27720.431752459033
27854.402310956946,27854.402310956946
27560.374681225378,27560.374681225378
27619.533105684855,27619.533105684855
27887.58139825539,27887.58139825539
27914.661559637898,27914.661559637898
27356.813672543085,27356.813672543085
27625.79385137327,27625.79385137327
27620.031936825442,27620.031936825442
27558.044522535485,27558.044522535485
27744.068350025707,27744.068350025707
27645.049217112966,27645.049217112966
27630.004151256893,27630.004151256893
27751.568412377528,27751.568412377528
27851.286922955318,27851.286922955318
27797.9171417736,27797.9171417736
27506.86743116083,27506.86743116083
27351.26685412055,27351.26685412055
27915.859854849754,27915.859854849754
27742.983639562688,27742.983639562688
27847.047184128303,27847.047184128303
27781.496020413797,27781.496020413797
27770.81461404553,27770.81461404553
28039.675848296192,28039.675848296192
27804.55993725887,27804.55993725887
27653.460247593528,27653.460247593528
27633.187017014137,27633.187017014137
27659.96483625024,27659.96483625024
27743.46336293149,27743.46336293149
27660.522011910893,27660.522011910893
27815.77847519978,27815.77847519978
27790.970579042852,27790.970579042852
27737.322472951186,27737.322472951186
27609.65530847963,27609.65530847963
27622.528425339537,27622.528425339537
27831.93381619871,27831.93381619871
27674.392050065842,27674.392050065842
27917.79379879375,27917.79379879375
27782.154932487556,27782.154932487556
27775.43987964812,27775.43987964812
27893.85803943412,27893.85803943412
28048.208982176326,28048.208982176326
27778.893069032052,27778.893069032052
27737.34934972168,27737.34934972168
27572.593986089825,27572.593986089825
27907.33066470367,27907.33066470367
27822.366718245954,27822.366718245954
27744.812570670867,27744.812570670867
27512.023363917466,27512.023363917466
27823.07581805533,27823.07581805533
27813.80344296566,27813.80344296566
27719.30783847611,27719.30783847611
27674.306371494113,27674.306371494113
27868.55491438815,27868.55491438815
27661.43894085877,27661.43894085877
27690.851948586962,27690.851948586962
27373.40309361663,27373.40309361663
27838.246490552425,27838.246490552425
27622.458548109702,27622.458548109702
27647.153208953332,27647.153208953332
27690.49625140531,27690.49625140531
27652.99410743842,27652.99410743842
27684.624745284542,27684.624745284542
27497.533396204082,27497.533396204082
