epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,25763.419610913897,25763.419610913897,25763.419610913897,0.0,1,2025-08-04T22:02:37.669878
1,22825.409806933552,22825.409806933552,22825.409806933552,0.0,1,2025-08-04T22:02:40.722120
2,25812.606978845466,25812.606978845466,25812.606978845466,0.0,1,2025-08-04T22:02:43.850040
3,16879.977691970424,16879.977691970424,16879.977691970424,0.0,1,2025-08-04T22:02:46.865952
4,21834.272977454468,21834.272977454468,21834.272977454468,0.0,1,2025-08-04T22:02:49.942744
5,19844.362372849613,19844.362372849613,19844.362372849613,0.0,1,2025-08-04T22:02:53.061783
6,15929.835577382293,15929.835577382293,15929.835577382293,0.0,1,2025-08-04T22:02:56.336062
7,26790.9087748113,26790.9087748113,26790.9087748113,0.0,1,2025-08-04T22:03:00.356536
8,23822.80732973341,23822.80732973341,23822.80732973341,0.0,1,2025-08-04T22:03:04.352885
9,22835.405814691287,22835.405814691287,22835.405814691287,0.0,1,2025-08-04T22:03:08.290645
10,21833.25277942591,21833.25277942591,21833.25277942591,0.0,1,2025-08-04T22:03:12.368482
11,17888.93677261836,17888.93677261836,17888.93677261836,0.0,1,2025-08-04T22:03:16.263833
12,23806.285834989234,23806.285834989234,23806.285834989234,0.0,1,2025-08-04T22:03:20.210344
13,21858.791902896104,21858.791902896104,21858.791902896104,0.0,1,2025-08-04T22:03:24.211522
14,21853.52213604058,21853.52213604058,21853.52213604058,0.0,1,2025-08-04T22:03:28.174304
15,21801.442223768445,21801.442223768445,21801.442223768445,0.0,1,2025-08-04T22:03:32.204066
16,21842.076446926927,21842.076446926927,21842.076446926927,0.0,1,2025-08-04T22:03:36.204559
17,19842.063542532105,19842.063542532105,19842.063542532105,0.0,1,2025-08-04T22:03:40.146537
18,21849.122604196196,21849.122604196196,21849.122604196196,0.0,1,2025-08-04T22:03:43.910259
19,16888.601572621556,16888.601572621556,16888.601572621556,0.0,1,2025-08-04T22:03:47.903208
20,25760.900600744008,25760.900600744008,25760.900600744008,0.0,1,2025-08-04T22:03:51.249477
21,25806.346009863766,25806.346009863766,25806.346009863766,0.0,1,2025-08-04T22:03:55.192314
22,14906.641009213237,14906.641009213237,14906.641009213237,0.0,1,2025-08-04T22:03:59.112391
23,18822.21865501404,18822.21865501404,18822.21865501404,0.0,1,2025-08-04T22:04:03.109197
24,29769.553043413838,29769.553043413838,29769.553043413838,0.0,1,2025-08-04T22:04:07.082859
