Average Episodic Reward,Average Episodic N-Reward
4946.888088538879,4946.888088538879
4905.593541927879,4905.593541927879
5174.640748827424,5174.640748827424
5065.347149605699,5065.347149605699
5213.720840336851,5213.720840336851
5103.152999175312,5103.152999175312
5124.632852396095,5124.632852396095
5291.839752539035,5291.839752539035
5290.60274162096,5290.60274162096
5184.162139987372,5184.162139987372
4945.759577513034,4945.759577513034
5044.293805206926,5044.293805206926
5251.4708175109445,5251.4708175109445
4975.731274765233,4975.731274765233
4864.85438567979,4864.85438567979
5211.917178064762,5211.917178064762
5149.91707787893,5149.91707787893
5005.9941557483635,5005.9941557483635
5222.505071975041,5222.505071975041
5152.690410247882,5152.690410247882
5263.177715712675,5263.177715712675
5273.581066388663,5273.581066388663
5163.638773303544,5163.638773303544
5193.809706422821,5193.809706422821
5182.460827613244,5182.460827613244
5581.152882769342,5581.152882769342
4667.859763060765,4667.859763060765
4787.630298479904,4787.630298479904
5254.29920555888,5254.29920555888
5143.508446248391,5143.508446248391
5184.341702250764,5184.341702250764
4896.0833093539295,4896.0833093539295
5104.80168968993,5104.80168968993
5133.33840674272,5133.33840674272
5024.878767605423,5024.878767605423
4874.712732162736,4874.712732162736
5333.224334753729,5333.224334753729
4993.827993500705,4993.827993500705
5034.601903797989,5034.601903797989
4797.131370065323,4797.131370065323
5063.825582427843,5063.825582427843
5502.1177437020315,5502.1177437020315
4993.081652886549,4993.081652886549
5461.520039658236,5461.520039658236
5311.688351866419,5311.688351866419
5202.880323488618,5202.880323488618
5072.655607912848,5072.655607912848
4994.560983454953,4994.560983454953
4927.117299044322,4927.117299044322
5233.610956154185,5233.610956154185
5223.674080535333,5223.674080535333
5363.8248111751755,5363.8248111751755
5254.489557530171,5254.489557530171
4876.661381222008,4876.661381222008
5362.42107935484,5362.42107935484
4647.832426572308,4647.832426572308
5024.998794526827,5024.998794526827
5164.232090309634,5164.232090309634
5223.379440073499,5223.379440073499
4934.144226859758,4934.144226859758
4794.543007554452,4794.543007554452
5102.285200555258,5102.285200555258
5262.366363657051,5262.366363657051
5102.729452974921,5102.729452974921
5075.67908269177,5075.67908269177
5352.405772892924,5352.405772892924
5043.6460567234,5043.6460567234
5332.87985767297,5332.87985767297
5137.399291976681,5137.399291976681
5599.0329749222565,5599.0329749222565
5611.541549196267,5611.541549196267
4905.969759114971,4905.969759114971
5054.1398897180425,5054.1398897180425
5203.681965131223,5203.681965131223
4826.717922309358,4826.717922309358
4963.175030671709,4963.175030671709
5588.133288043355,5588.133288043355
4906.08936907256,4906.08936907256
5084.059986650286,5084.059986650286
4984.257343159064,4984.257343159064
5033.376591967196,5033.376591967196
5223.684471915377,5223.684471915377
5243.360387601084,5243.360387601084
5063.251055596489,5063.251055596489
5213.074081657772,5213.074081657772
5224.430079287204,5224.430079287204
5421.152842850051,5421.152842850051
4816.5208394249,4816.5208394249
4847.729857437978,4847.729857437978
5480.675956642255,5480.675956642255
5223.654724970209,5223.654724970209
5301.70244909979,5301.70244909979
5014.4138178892235,5014.4138178892235
5291.708730431046,5291.708730431046
5004.641076883292,5004.641076883292
5113.730727314724,5113.730727314724
5104.308476008937,5104.308476008937
4625.906028487379,4625.906028487379
5125.0146360348845,5125.0146360348845
5164.474174120252,5164.474174120252
5133.277416914511,5133.277416914511
5321.634843093271,5321.634843093271
5075.987730942408,5075.987730942408
5181.021908058549,5181.021908058549
5222.860787981355,5222.860787981355
5380.080035397335,5380.080035397335
