Average Episodic Reward,Average Episodic N-Reward
13021.150272102064,13021.150272102064
13129.689268054164,13129.689268054164
13318.619758605593,13318.619758605593
12941.923185218551,12941.923185218551
13060.040507238999,13060.040507238999
13199.011716134275,13199.011716134275
12942.022857097807,12942.022857097807
12980.597116928953,12980.597116928953
12992.957999491571,12992.957999491571
13279.2159417645,13279.2159417645
13179.356934644906,13179.356934644906
12882.478717015792,12882.478717015792
12832.424678965548,12832.424678965548
12951.96556404644,12951.96556404644
13159.044808480285,13159.044808480285
13199.839549683948,13199.839549683948
12980.462400664326,12980.462400664326
13189.197763912214,13189.197763912214
13060.543826357818,13060.543826357818
13198.42465313737,13198.42465313737
13356.715747402632,13356.715747402632
13039.559414404544,13039.559414404544
12960.743486756866,12960.743486756866
12920.805875223097,12920.805875223097
13037.315269768162,13037.315269768162
15977.925597125399,15977.925597125399
16274.010807237844,16274.010807237844
14884.690119251016,14884.690119251016
15005.672087266119,15005.672087266119
14171.347862429779,14171.347862429779
14569.480744007345,14569.480744007345
14727.750415375112,14727.750415375112
14570.961689599473,14570.961689599473
14489.697187421138,14489.697187421138
14331.10922669298,14331.10922669298
14923.872113342264,14923.872113342264
14271.287914594419,14271.287914594419
15005.44028593877,15005.44028593877
15113.326124409905,15113.326124409905
14625.379919485287,14625.379919485287
14628.315938158417,14628.315938158417
15210.616915337543,15210.616915337543
15025.422924000619,15025.422924000619
14154.408115872142,14154.408115872142
13913.748846238384,13913.748846238384
15261.478879071417,15261.478879071417
14984.918074348623,14984.918074348623
14639.390354420286,14639.390354420286
14610.055997453755,14610.055997453755
15224.412466500222,15224.412466500222
15181.39285799368,15181.39285799368
15173.35905319184,15173.35905319184
15699.887424098262,15699.887424098262
15680.580603778288,15680.580603778288
15709.784373161017,15709.784373161017
15692.515299306353,15692.515299306353
16819.919342323225,16819.919342323225
16444.2609139127,16444.2609139127
16901.55828649665,16901.55828649665
17394.677939921632,17394.677939921632
17061.30810896971,17061.30810896971
17614.05767866508,17614.05767866508
18503.878341059288,18503.878341059288
19082.48534752565,19082.48534752565
19281.853601137365,19281.853601137365
19164.35480211157,19164.35480211157
19001.57874348874,19001.57874348874
19140.29251725919,19140.29251725919
19876.223793956553,19876.223793956553
20011.09730102669,20011.09730102669
20438.761602568335,20438.761602568335
20829.328089955015,20829.328089955015
21304.985769541297,21304.985769541297
21982.08531817978,21982.08531817978
20886.718652086045,20886.718652086045
20947.019435998252,20947.019435998252
22206.106871986645,22206.106871986645
22453.392208878344,22453.392208878344
21634.44709542909,21634.44709542909
21938.241593105933,21938.241593105933
21971.72071797836,21971.72071797836
22706.10793617581,22706.10793617581
23150.84426919209,23150.84426919209
22072.4554878592,22072.4554878592
22416.04347643249,22416.04347643249
Average Episodic Reward,Average Episodic N-Reward
13021.150272102064,13021.150272102064
13129.689268054164,13129.689268054164
13318.619758605593,13318.619758605593
12941.923185218551,12941.923185218551
13060.040507238999,13060.040507238999
13199.011716134275,13199.011716134275
12942.022857097807,12942.022857097807
12980.597116928953,12980.597116928953
12992.957999491571,12992.957999491571
13279.2159417645,13279.2159417645
13179.356934644906,13179.356934644906
12882.478717015792,12882.478717015792
12832.424678965548,12832.424678965548
12951.96556404644,12951.96556404644
13159.044808480285,13159.044808480285
13199.839549683948,13199.839549683948
12980.462400664326,12980.462400664326
