Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
926.123480722111,979.7023220388294,979.7023220388294,1102.7301746614005,391
1168.3468028367595,1045.3742448875332,1045.3742448875332,1306.233367952739,797
1464.0647926184674,1253.9037881996544,1162.5032994793794,1464.0647926184674,1236
1328.171245194652,1358.4692523954375,1201.9217486414855,1464.0647926184674,1647
1765.9139333447406,1452.4693627687714,1278.4897247951362,1784.6736809172355,2114
1523.1895752554005,1517.1932747701583,1307.0122573510428,1841.7935796662962,2555
1468.0474490015451,1457.9895438506237,1329.775387382418,1841.7935796662962,3003
1332.9203540445433,1451.7334903499263,1343.1925656007638,1841.7935796662962,3440
1596.263665641182,1429.6007292983898,1351.9587966970787,1841.7935796662962,3880
1520.8832800447988,1478.2899897531681,1370.2120504312447,1841.7935796662962,4337
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
581.3492988678607,1064.603774744031,1064.603774744031,1414.8468625986993,415
1123.0347819131296,1017.1567700259636,1017.1567700259636,1414.8468625986993,812
1173.6104388044773,1082.5762068313613,1076.5853961355847,1420.396622960569,1226
1324.829309813512,1272.4997395181715,1144.8282547720676,1449.4450437837927,1652
1587.238161089478,1473.5573190982407,1235.374165320647,1779.6517789949035,2112
1291.4955644274853,1521.2237317340396,1270.2934137593916,1779.6517789949035,2552
1577.9911396713205,1413.3989584552976,1286.2383919305469,1779.6517789949035,2989
1382.2063088176924,1369.348724486391,1295.0572414411413,1779.6517789949035,3421
1653.2269855161242,1374.7019375339228,1305.8969576201862,1779.6517789949035,3859
1231.7900971201611,1350.2016248434159,1306.0861181215964,1779.6517789949035,4273
1462.680548180814,1337.9651052138915,1336.4399054265427,1779.6517789949035,4708
1628.701380625412,1383.026322710722,1379.260028658548,1779.6517789949035,5140
1541.5017049887158,1419.4833928147345,1403.821342623217,1779.6517789949035,5585
1142.051093483005,1413.811499081858,1407.5223805712853,1779.6517789949035,6015
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
581.3492988678607,1064.603774744031,1064.603774744031,1414.8468625986993,415
1123.0347819131296,1017.1567700259636,1017.1567700259636,1414.8468625986993,812
1173.6104388044773,1082.5762068313613,1076.5853961355847,1420.396622960569,1226
1324.829309813512,1272.4997395181715,1144.8282547720676,1449.4450437837927,1652
Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
581.3492988678607,1064.603774744031,1064.603774744031,1414.8468625986993,415
1123.0347819131296,1017.1567700259636,1017.1567700259636,1414.8468625986993,812
1173.6104388044773,1082.5762068313613,1076.5853961355847,1420.396622960569,1226
1324.829309813512,1272.4997395181715,1144.8282547720676,1449.4450437837927,1652
1587.238161089478,1473.5573190982407,1235.374165320647,1779.6517789949035,2112
1291.4955644274853,1521.2237317340396,1270.2934137593916,1779.6517789949035,2552
1577.9911396713205,1413.3989584552976,1286.2383919305469,1779.6517789949035,2989
1382.2063088176924,1369.348724486391,1295.0572414411413,1779.6517789949035,3421
1653.2269855161242,1374.7019375339228,1305.8969576201862,1779.6517789949035,3859
1231.7900971201611,1350.2016248434159,1306.0861181215964,1779.6517789949035,4273
