Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,49.46272486416537,57.951863683770696,57.951863683770696,80.80496726190617,150
10,59.36704115512873,55.33284717216054,55.33284717216054,80.80496726190617,300
15,330.3992018755528,164.73171061344175,129.13842830355142,330.3992018755528,466
20,304.380061866322,295.8059426172938,175.56939489472717,342.1993037197216,634
25,346.6636283150896,328.46969513327105,208.87093503543926,356.9498033602969,810
30,327.72379738922444,328.86388805574455,226.66755928173293,356.9498033602969,976
35,289.755786062218,318.94339967685835,240.3202106472733,356.9498033602969,1141
40,277.78357487991195,318.81372662662363,249.70410111795564,356.9498033602969,1313
45,298.49853165329324,318.7449286938779,257.747925768741,356.9498033602969,1481
50,323.37992446273466,319.1081731987229,263.5849155341091,365.79901471776856,1655
55,317.5924083345235,318.8397660859099,289.9459000406718,365.79901471776856,1827
60,313.18788102068817,321.9330627218383,316.90495864404465,365.79901471776856,1993
65,330.59949446861685,321.0376866742348,321.2070952528304,365.79901471776856,2155
70,332.805726375825,325.8763222476936,322.91903457012467,365.79901471776856,2321
75,350.9991273729775,327.8821475068072,321.08958572753767,365.79901471776856,2495
80,305.1648875285916,319.8278557239836,321.1118281037724,365.79901471776856,2664
85,336.00121568499,315.5307724755297,320.4070602872719,365.79901471776856,2830
90,299.9464247169975,313.28930211978246,320.0069432024042,365.79901471776856,2995
95,312.89795804833074,317.2378284112506,320.1056402307465,365.79901471776856,3159
100,335.6341931966454,322.4668524197433,320.6786790466083,365.79901471776856,3328
105,317.93197589427916,320.4473371757155,320.4271544487076,365.79901471776856,3491
110,310.2730701508601,322.29122559774004,320.7503116217886,365.79901471776856,3659
115,305.27051912625933,319.4727062606653,320.11415836599366,365.79901471776856,3832
120,303.8721006183554,318.74483708027424,319.3240145883047,365.79901471776856,4003
125,322.6694859740172,324.54869964349075,319.44746879333036,365.79901471776856,4172
130,289.47255707665465,315.25365669790625,318.40917478308927,365.79901471776856,4336
135,327.39922070853163,311.91127517219854,318.7235693326641,365.79901471776856,4507
140,332.7003619899063,314.27835096287026,318.60698455170683,365.79901471776856,4672
145,333.9231994474211,314.1122342474737,318.0984504999087,365.79901471776856,4842
150,323.28049241347674,326.39336952081885,319.3922879719219,365.79901471776856,5012
155,336.37519067247035,329.6255847137053,319.9341000075067,367.99548188142177,5182
160,311.7023611508471,325.4373759430681,320.02151804098753,367.99548188142177,5356
165,297.47367507275214,323.7051971741171,320.7805981901971,367.99548188142177,5519
170,318.1589272562626,320.41617723251255,320.3557860714352,367.99548188142177,5681
175,318.6701317030117,318.61418679525286,319.59369562054945,367.99548188142177,5847
180,341.74969133568715,329.7976780025936,323.2645903323726,367.99548188142177,6016
185,295.4765448518907,326.85467541431484,322.58237566897276,367.99548188142177,6188
190,306.96032958470784,313.55015593290625,323.1189513263799,367.99548188142177,6352
195,313.4112908864703,325.02259403871665,324.7644476272214,367.99548188142177,6530
200,324.1331003523331,323.6429298504547,322.5688633923071,367.99548188142177,6697
205,330.5994539214472,326.932338402004,324.22579836488114,367.99548188142177,6871
210,321.4494284321202,332.02383957204495,323.8861561181024,367.99548188142177,7042
