Epoch,Epoch Reward,Avg Reward (last 10)
10,42.52328748280384,39.23891640000228
20,25.67961614862626,34.33247441332458
30,61.57911411033501,42.48423845807305
40,58.150890029642696,39.79786824870567
50,69.51033569809488,45.37053859319449
60,27.08743062892662,34.521749795951536
70,59.676733853185304,42.65217795017085
80,18.90814195119798,27.546611363999695
90,20.23768707509845,34.98658264214697
100,63.708272099851776,42.92176423528586
110,18.806460350401622,39.95139520360195
Epoch,Epoch Reward,Avg Reward (last 10)
10,42.52328748280384,39.23891640000228
20,25.67961614862626,34.33247441332458
30,61.57911411033501,42.48423845807305
40,58.150890029642696,39.79786824870567
50,69.51033569809488,45.37053859319449
Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,283.29764684786096,250.60477496190387,250.60477496190387,283.29764684786096,329
10,171.2777144691867,219.60485067634923,219.60485067634923,283.29764684786096,647
15,225.09988583347348,196.38230063979037,214.4564587471615,283.29764684786096,965
20,347.6282454539021,257.61781945584517,238.61133506609727,347.6282454539021,1294
25,329.1563783615899,317.79338789502253,255.79123040630594,347.6282454539021,1634
30,336.3451217919774,324.74755460270404,267.3234082449662,347.6282454539021,1964
35,296.0348659966127,316.56116696657494,273.15406942352564,347.6282454539021,2297
40,298.2451677097852,311.4518741664715,278.35552472534243,347.6282454539021,2628
45,317.7549944697897,315.8064948456636,282.6323861840008,347.6282454539021,2960
50,317.04842144046484,316.9508712620056,286.07459403267507,347.6282454539021,3301
55,294.9863446217048,318.3207247853791,292.97281502648616,347.6282454539021,3629
60,315.37265307833724,322.0240804935658,306.5584399961184,347.6282454539021,3961
65,303.51429168561566,322.3538503709909,318.1671249727262,347.6282454539021,4300
70,298.59699678375955,318.0774009080106,318.65035628655147,353.45995834100216,4634
75,342.13994873001417,323.8203684479542,319.37252108331256,353.45995834100216,4963
80,321.82435264647586,331.1607878348867,319.933002932988,353.45995834100216,5302
85,290.5731520826697,325.35526088463746,321.13133986692503,353.45995834100216,5642
90,299.0063339085308,319.0297153530274,321.4485711702992,353.45995834100216,5982
95,314.4573243077618,316.0053355485305,321.1711080074985,353.45995834100216,6320
100,313.0224865924243,316.555190918986,321.3694351016953,353.45995834100216,6660
105,316.03027595171056,314.2805794380553,320.3630789380337,353.45995834100216,6994
110,309.2423696456356,315.8086949083362,320.1263579846493,353.45995834100216,7334
Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,227.4934107199465,232.2880429453108,232.2880429453108,261.56236593785144,163
10,229.86509563621098,242.56668338127685,242.56668338127685,280.488710521609,325
15,278.9239973816343,263.180916960089,252.8832922884962,333.2238400093171,485
20,274.0564982218108,272.2460603268655,257.4063718540712,333.2238400093171,645
25,266.50477146846754,282.68816252540563,264.80524038326,333.2238400093171,811
30,321.3520375079333,302.1408741433287,272.31787261715704,333.2238400093171,976
35,293.0147137440287,314.28318092306625,278.94179482320465,351.34846117708787,1145
40,306.6989337381615,320.45832400535915,284.35298546420756,351.34846117708787,1312
45,329.97655103698895,323.6491177601457,288.8767554758582,366.21637664801983,1484
50,324.4636095848957,318.4855570571948,291.179499782805,366.21637664801983,1647
55,314.2250799508656,311.9954639529711,299.1593684243355,366.21637664801983,1814
60,304.3951366482647,304.30932815558003,303.52802873766564,366.21637664801983,1976
65,325.67606211334413,311.0446932430854,308.7321236809349,366.21637664801983,2144
70,278.5141796361745,316.74769830632937,312.4283563335584,366.21637664801983,2312
75,284.0955014703874,317.96146930762535,315.7867850373788,366.21637664801983,2483
80,336.144901863858,330.240014232275,318.0481843513477,366.21637664801983,2650
85,293.3418856423177,318.51310916686214,316.632770686138,366.21637664801983,2816
90,314.08313331628904,309.8841838795264,315.93335632618107,366.21637664801983,2981
95,333.1991745812376,330.4438377020431,317.9917146745175,366.21637664801983,3156
100,327.8181302268573,329.15658170485074,318.06756125571223,366.21637664801983,3322
105,297.6795115313872,309.3195352129226,317.45652892650764,366.21637664801983,3486
110,333.5995632262407,317.61630376203715,320.7289563770037,366.21637664801983,3658
115,318.82093758018146,323.9513160140168,320.03785348069397,366.21637664801983,3831
120,296.0747046633273,316.98825067265017,320.7770668502679,366.21637664801983,4000
125,332.9967043847388,319.07439596905465,320.2604388129798,366.21637664801983,4167
130,345.1991053592506,324.1375501661686,319.5565740370466,366.21637664801983,4335
135,319.22311699691033,325.26432710337366,321.61068240028214,366.21637664801983,4508
140,320.44676649990504,325.50670558119526,322.6810783773804,366.21637664801983,4680
145,345.19937031217074,330.56772999404643,321.6354608586828,366.21637664801983,4848
150,334.14426136737654,325.91539916984544,322.03284187037934,366.21637664801983,5017
155,330.8364984337355,325.78998919947753,324.9295516559938,366.21637664801983,5187
160,329.7552631189948,328.40411420170415,324.1904039583127,366.21637664801983,5355
165,344.1729042106763,329.6805950791467,326.07540746901975,366.21637664801983,5529
170,325.35925959325266,324.0403339934647,325.6008206224757,366.21637664801983,5697
175,314.7873233466422,314.9561633303625,325.25176094128136,366.21637664801983,5867
180,281.3556632637249,310.3339661188296,322.84010381300783,366.21637664801983,6038
185,344.591821500442,308.98847655426795,321.9965908314602,366.21637664801983,6205
190,295.9009408236555,317.75571539168646,321.2899057751061,366.21637664801983,6373
195,298.56785007600945,317.4177947749747,319.3666037876459,366.21637664801983,6541
200,348.1993777693163,325.82584341947376,321.2719946250317,366.21637664801983,6706
205,310.9223793494326,331.45244801419517,320.4990955505894,366.21637664801983,6878
210,339.1990927948278,326.01069995208087,320.79331177510704,366.21637664801983,7047
215,306.32744579557414,317.37405810616764,318.03778815599355,366.21637664801983,7210
220,337.1154384659391,314.22414793668145,318.8300745637504,366.21637664801983,7381
225,323.24878152722783,319.67032942465477,318.98062137485203,366.21637664801983,7548
230,332.7917697262812,326.70445011110786,322.1041713622061,366.21637664801983,7718
235,318.98056143312965,329.9238935319284,323.1677047703841,366.21637664801983,7888
240,328.02924459157896,323.9947694435918,323.3519821725872,366.21637664801983,8056
245,322.71360074886525,324.80830959300084,324.64580773398944,366.21637664801983,8231
250,332.84372395555835,328.1598816836733,323.8187898254271,366.21637664801983,8393
255,315.4604661956261,321.2879136817356,322.6129008674974,366.21637664801983,8562
260,344.4785712579661,323.8462149814158,323.3858928312941,366.21637664801983,8730
265,333.54324136612144,328.7289547692676,324.88388020011746,366.21637664801983,8893
270,324.08475003874537,318.77925380472647,324.2969140049031,366.21637664801983,9065
275,276.6907729338991,314.6024617035763,323.87030665590174,366.21637664801983,9233
280,316.84711034850744,327.3011023868412,324.41624446004977,376.5412253477913,9407
285,296.0267209736061,331.44408863388793,324.1743456762936,376.5412253477913,9577
290,298.1474767521327,323.94181275981623,324.4056531232946,376.5412253477913,9745
295,318.81695013822554,318.4972340641614,322.91213057052573,376.5412253477913,9909
