Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-166.49816230256695,-166.49816230256695,-170.43698697185616,-170.43698697185616,-170.43698697185616
-164.23237977828592,-164.23237977828592,-167.52828374786168,-167.52828374786168,-164.6195805238672
-156.95927600563036,-156.95927600563036,-182.41239634025632,-182.41239634025632,-164.6195805238672
-158.7059462500386,-158.7059462500386,-167.38191327268083,-167.38191327268083,-122.29046406995444
-163.66092344818105,-163.66092344818105,-164.26690398035117,-164.26690398035117,-122.29046406995444
-164.0060126290797,-164.0060126290797,-155.0799282257483,-155.0799282257483,-109.14504945273396
-159.72883030577893,-159.72883030577893,-162.84167851055875,-162.84167851055875,-109.14504945273396
-161.8873157937493,-161.8873157937493,-163.8482690443587,-163.8482690443587,-109.14504945273396
-154.6336935882511,-154.6336935882511,-165.69525492767684,-165.69525492767684,-109.14504945273396
-162.3161776867747,-162.3161776867747,-167.82633548047903,-167.82633548047903,-109.14504945273396
-159.75811732625309,-159.75811732625309,-160.62012701454944,-161.51256882885005,-98.37490231256024
-164.60884819973407,-164.60884819973407,-161.18828244944945,-162.24494933251816,-98.37490231256024
-163.6684466615765,-163.6684466615765,-159.37239840542128,-164.68932100576785,-98.37490231256024
-166.75472930629192,-166.75472930629192,-165.1575985867243,-165.7931170684262,-98.37490231256024
-166.03689520390418,-166.03689520390418,-166.67922779432038,-165.87511985633066,-98.37490231256024
-159.93313915181824,-159.93313915181824,-169.6238945407021,-164.16990717259443,-98.37490231256024
-160.72182174989524,-160.72182174989524,-158.80974441977708,-160.4699525748048,-98.37490231256024
-163.4789678760627,-163.4789678760627,-156.93016061123245,-160.00487547039964,-98.37490231256024
-159.13629473286895,-159.13629473286895,-150.91107405586376,-157.9141071004068,-98.37490231256024
-162.68582503901035,-162.68582503901035,-152.33543721645748,-160.08088634846825,-98.37490231256024
-157.7012217184119,-157.7012217184119,-159.31684107551982,-160.46698418440707,-98.37490231256024
-160.86646470218085,-160.86646470218085,-156.8615229992368,-159.7979373628448,-98.37490231256024
-157.95955762172886,-157.95955762172886,-155.5891675848398,-160.73273256188605,-98.37490231256024
-161.42966462917246,-161.42966462917246,-156.05246790861912,-161.7345132518399,-98.37490231256024
-161.58850704683894,-161.58850704683894,-156.12329935013574,-161.97439165385268,-98.37490231256024
-98.14218052948985,-98.14218052948985,-152.92460449622234,-159.8447907586052,-98.37490231256024
-92.7222656844177,-92.7222656844177,-154.62795442034542,-158.30624955463466,-98.37490231256024
-103.08685149199532,-103.08685149199532,-148.75464210077294,-155.98693498124726,-93.36544149978705
-87.87240307821592,-87.87240307821592,-150.00267058263103,-155.18602554255307,-93.36544149978705
-98.83047808658064,-98.83047808658064,-137.03674536829274,-152.39950602174306,-71.590439918253
-97.71675745394728,-97.71675745394728,-126.22665214504227,-149.421715784612,-60.08800867067932
-95.92247747717018,-95.92247747717018,-124.42111665675584,-148.742680892192,-60.08800867067932
-105.35080000845262,-105.35080000845262,-115.6974783454031,-147.08568582961848,-60.08800867067932
-95.80681525788602,-95.80681525788602,-104.74376923335247,-144.97252971699064,-60.08800867067932
-91.01550786659982,-91.01550786659982,-100.24783317952617,-144.33823208975937,-60.08800867067932
-93.90055451718632,-93.90055451718632,-99.2848214592996,-143.0225770643536,-60.08800867067932
-103.7254937573763,-103.7254937573763,-96.23002301033526,-141.5288910291483,-60.08800867067932
-94.22777158313411,-94.22777158313411,-99.05788420307869,-141.0056058290976,-60.08800867067932
-101.05022744442971,-101.05022744442971,-90.70924048832346,-138.65351655428907,-49.274124111564205
-98.62131252938474,-98.62131252938474,-90.12362066544664,-136.83053468266897,-49.274124111564205
-92.26858332111652,-92.26858332111652,-98.34440605362377,-136.96383536241973,-49.274124111564205
-102.07211908962678,-102.07211908962678,-94.5031525087991,-135.82850746757464,-49.274124111564205
-90.88996490393819,-90.88996490393819,-93.49587189930166,-134.62293840396342,-49.274124111564205
-91.3326648146953,-91.3326648146953,-95.17955314353905,-133.6559441321153,-49.274124111564205
-93.90619051199874,-93.90619051199874,-91.36215132486899,-132.56576969756154,-49.274124111564205
-91.70566100762086,-91.70566100762086,-90.84133416643,-131.67882860828328,-49.274124111564205
-93.5528342304399,-93.5528342304399,-92.40695267698223,-131.07741478400663,-49.274124111564205
-92.84643145268677,-92.84643145268677,-90.58956651785607,-130.5022643059223,-49.274124111564205
-90.48225289334377,-90.48225289334377,-93.70366451660588,-129.48007736292516,-49.274124111564205
-92.92769602095477,-92.92769602095477,-95.19084665700635,-128.50259707753645,-49.274124111564205
-96.2405486113526,-96.2405486113526,-87.63414685944369,-126.42843462963579,-49.274124111564205
-92.78796293298981,-92.78796293298981,-87.59321446105399,-124.91345781505903,-49.274124111564205
-96.14559086442002,-96.14559086442002,-84.74162962644667,-121.7793091722825,-49.274124111564205
-94.84824685668718,-94.84824685668718,-87.69306257707115,-121.76529028986124,-49.274124111564205
-85.71933126809454,-85.71933126809454,-86.53714077612081,-120.18993048499442,-49.274124111564205
-93.74797288274378,-93.74797288274378,-85.7054860673223,-119.67602814599528,-49.274124111564205
-88.2021240033412,-88.2021240033412,-86.51522084487358,-117.7179790744627,-49.274124111564205
-93.48462480099575,-93.48462480099575,-84.52146555419873,-115.97074379742779,-49.274124111564205
-91.9677350750954,-91.9677350750954,-80.62872275236487,-113.19107447915779,-41.4876760807236
-94.40046738763834,-94.40046738763834,-81.73600347982509,-111.28453067740566,-41.4876760807236
-93.95235987255417,-93.95235987255417,-82.77118160432613,-110.85864554759115,-41.4876760807236
-96.87874854350962,-96.87874854350962,-80.39068850012146,-108.75393902519343,-41.4876760807236
-90.16677470988185,-90.16677470988185,-81.81304105006029,-106.26743770121031,-41.4876760807236
-91.07779657294272,-91.07779657294272,-80.77218200775903,-104.88820697406818,-41.4876760807236
-93.47644741856297,-93.47644741856297,-80.41611376017855,-102.93730767816605,-41.4876760807236
-89.70062529760844,-89.70062529760844,-87.26311310791202,-103.20387185943724,-41.4876760807236
-93.0625908907611,-93.0625908907611,-90.05898271840768,-103.96782673418882,-41.4876760807236
-90.91534437016591,-90.91534437016591,-92.26299737305044,-103.03731114979138,-41.4876760807236
-83.19671773215885,-83.19671773215885,-95.23821803670731,-102.0565032753265,-41.4876760807236
-88.94418529168458,-88.94418529168458,-94.20269269397063,-99.65798177290827,-41.4876760807236
-90.82231569291018,-90.82231569291018,-92.76292925009423,-97.54786318250599,-41.4876760807236
-90.54921100447221,-90.54921100447221,-97.9647328195903,-96.97458098926413,-41.4876760807236
-90.33863700554893,-90.33863700554893,-99.94425267805784,-95.13845471985391,-41.4876760807236
-87.39505400836796,-87.39505400836796,-95.67161778723914,-92.81203694979216,-41.4876760807236
-94.5663311673077,-94.5663311673077,-100.2100727814969,-91.7546623644383,-41.4876760807236
-92.78525775477601,-92.78525775477601,-94.60718679650041,-91.54038831949285,-41.4876760807236
-88.8234919158922,-88.8234919158922,-88.9751211971689,-90.83726008955351,-41.4876760807236
-89.66873327841215,-89.66873327841215,-87.51381507731581,-90.78914574509996,-41.4876760807236
-88.32000668119353,-88.32000668119353,-87.61939938641532,-89.57984903608337,-41.4876760807236
-87.21701248001777,-87.21701248001777,-89.54890105875558,-90.16041291100083,-41.4876760807236
-88.1788412049557,-88.1788412049557,-92.12485259912339,-90.72750327332224,-41.4876760807236
-90.86523271016041,-90.86523271016041,-89.76485988250964,-90.04332963441489,-41.4876760807236
-86.95782971520715,-86.95782971520715,-88.90000520856144,-89.77896009248559,-41.4876760807236
-91.58968290586051,-91.58968290586051,-92.56773878334023,-90.37683085978969,-41.4876760807236
-88.7183486041224,-88.7183486041224,-87.90532307977902,-89.28616034448885,-41.4876760807236
-86.45178068051993,-86.45178068051993,-86.50730426727999,-88.98488488108895,-41.4876760807236
-91.20438130129912,-91.20438130129912,-87.64236968209073,-89.11972942390463,-41.4876760807236
-90.18656896135859,-90.18656896135859,-83.97333917490573,-87.77223673946536,-41.4876760807236
-86.40929155455473,-86.40929155455473,-87.61614617377809,-88.9612301731743,-41.4876760807236
-92.11867767568785,-92.11867767568785,-87.57467110525678,-89.65062299896289,-41.4876760807236
-88.55314711624455,-88.55314711624455,-87.64433767746598,-88.58748959809068,-41.4876760807236
-89.15953678608047,-89.15953678608047,-85.34161070589816,-88.21102127383472,-41.4876760807236
-91.43986400245893,-91.43986400245893,-85.66703828290758,-88.21319336920675,-41.4876760807236
-89.30927744814119,-89.30927744814119,-82.82358666338651,-87.90563756375921,-41.4876760807236
-88.92410484644422,-88.92410484644422,-84.19669238699879,-87.85306855691482,-41.4876760807236
-89.1867216459207,-89.1867216459207,-87.80495990953091,-88.37761002970912,-41.4876760807236
-88.23264398565247,-88.23264398565247,-83.6284427695967,-87.36402744242753,-41.4876760807236
-85.03306555466231,-85.03306555466231,-87.66878980864055,-87.18808139762224,-41.4876760807236
-85.21014693788884,-85.21014693788884,-83.896365786893,-86.99977042723171,-41.4876760807236
-85.21783630335726,-85.21783630335726,-84.3556835587154,-87.48359037930467,-41.4876760807236
-87.98558774458286,-87.98558774458286,-85.0785633645407,-88.07637289911008,-41.4876760807236
-83.56736035036833,-83.56736035036833,-84.40693546112631,-87.57376547384918,-41.4876760807236
-86.23139043507813,-86.23139043507813,-83.09660441960577,-87.88418832783859,-41.4876760807236
-86.6320556607218,-86.6320556607218,-91.1519961826584,-88.59742428487667,-41.4876760807236
-85.799182343154,-85.799182343154,-89.84692248397202,-88.51502489848507,-41.4876760807236
-85.97924291513529,-85.97924291513529,-87.59597969436209,-88.75570875511708,-41.4876760807236
-85.33546589450353,-85.33546589450353,-91.76453074055742,-88.41388942156429,-41.4876760807236
-85.39618296647615,-85.39618296647615,-87.57292548509653,-87.79837338380183,-41.4876760807236
-88.87790056758493,-88.87790056758493,-90.7553807667131,-89.02510203010135,-41.4876760807236
-83.86503286602108,-83.86503286602108,-91.21598577956247,-89.37958683925218,-41.4876760807236
-82.42244504623157,-82.42244504623157,-88.99162486481399,-89.32046155120766,-41.4876760807236
-85.64300001866472,-85.64300001866472,-93.11518458820794,-90.11866469146648,-41.4876760807236
-81.74584757091314,-81.74584757091314,-93.52964540370073,-90.22750919856666,-41.4876760807236
-82.85323447561898,-82.85323447561898,-82.85423940423513,-89.01383576417189,-41.4876760807236
-83.9624498252174,-83.9624498252174,-84.48551693666745,-89.32890553378283,-41.4876760807236
-86.26068072172673,-86.26068072172673,-82.71565768378213,-87.84621767029111,-41.4876760807236
-81.3990174934664,-81.3990174934664,-80.04213032838882,-86.4105189435605,-41.4876760807236
-87.18092466074631,-87.18092466074631,-82.50167284039149,-85.84610847727002,-41.4876760807236
-84.79607618731039,-84.79607618731039,-83.3563369474684,-86.64872581225357,-41.4876760807236
-83.6029631805406,-83.6029631805406,-78.24430462754718,-86.18790922596749,-41.4876760807236
-84.1224692111623,-84.1224692111623,-81.20227063825914,-87.00832982884063,-41.4876760807236
-80.39624430071316,-80.39624430071316,-77.41223835932006,-86.00816579941242,-41.4876760807236
-82.13628733505446,-82.13628733505446,-81.50862913779845,-86.54038449051478,-41.4876760807236
-84.33549950345093,-84.33549950345093,-87.14363097952543,-87.30823840262914,-41.4876760807236
