Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-221.9002419871689,-221.9002419871689,-278.54461841691835,-278.54461841691835,-278.54461841691835
-225.02867552687403,-225.02867552687403,-242.8875768491448,-242.8875768491448,-207.2305352813713
-231.71615444168808,-231.71615444168808,-236.66918964124622,-236.66918964124622,-207.2305352813713
-229.57538492667155,-229.57538492667155,-221.55941508889245,-221.55941508889245,-176.23009143183114
-216.24074427357561,-216.24074427357561,-233.19163249941622,-233.19163249941622,-176.23009143183114
-225.8530917826609,-225.8530917826609,-231.33543048285458,-231.33543048285458,-176.23009143183114
-224.9460666073167,-224.9460666073167,-214.92385845976784,-214.92385845976784,-116.45442632124751
-225.10451373648152,-225.10451373648152,-212.1932142519451,-212.1932142519451,-116.45442632124751
-223.77745793705927,-223.77745793705927,-217.59638014544106,-217.59638014544106,-116.45442632124751
-225.53419311469176,-225.53419311469176,-215.0195200884772,-215.0195200884772,-116.45442632124751
-238.41253509268162,-238.41253509268162,-215.81623618945224,-221.51881639194914,-116.45442632124751
-233.49766813573453,-233.49766813573453,-214.3921843056243,-219.14141639621107,-116.45442632124751
-228.19855527761516,-228.19855527761516,-226.52058775588085,-228.8625728063498,-116.45442632124751
-236.17542118546353,-236.17542118546353,-231.32082013524263,-228.53184726485688,-116.45442632124751
-230.41758256046307,-230.41758256046307,-225.40686799476083,-228.00178949631265,-116.45442632124751
-228.65685437758654,-228.65685437758654,-213.72346941875654,-220.32795481779328,-105.22043464000313
-227.28209037224406,-227.28209037224406,-220.66863821524413,-218.30314066887155,-105.22043464000313
-222.03975321216302,-222.03975321216302,-231.47174034128057,-222.90350652379811,-105.22043464000313
-225.26230494408395,-225.26230494408395,-225.52477842334574,-221.76922134433826,-105.22043464000313
-232.36076627148483,-232.36076627148483,-217.82594157764396,-216.4227308330606,-105.22043464000313
-229.5438371362535,-229.5438371362535,-207.6862431479366,-214.93187675194315,-105.22043464000313
-225.0212319625155,-225.0212319625155,-210.44533957729672,-215.18865420579547,-105.22043464000313
