Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-306.66662760541595,-306.66662760541595,-194.68755700133948,-194.68755700133948,-194.68755700133948
-311.6304462090528,-311.6304462090528,-190.41152390731708,-190.41152390731708,-186.1354908132947
-290.4850705126736,-290.4850705126736,-225.0167174087643,-225.0167174087643,-186.1354908132947
-308.34732728877026,-308.34732728877026,-253.5085347870735,-253.5085347870735,-186.1354908132947
-303.40065934208934,-303.40065934208934,-276.0684805779763,-276.0684805779763,-186.1354908132947
-303.4503810920814,-303.4503810920814,-289.7773374439814,-289.7773374439814,-186.1354908132947
-287.21244819980313,-287.21244819980313,-279.87035058145887,-279.87035058145887,-186.1354908132947
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-306.66662760541595,-306.66662760541595,-194.68755700133948,-194.68755700133948,-194.68755700133948
-307.154929212785,-307.154929212785,-291.68889243322167,-291.68889243322167,-186.1354908132947
-311.6304462090528,-311.6304462090528,-190.41152390731708,-190.41152390731708,-186.1354908132947
-290.4850705126736,-290.4850705126736,-225.0167174087643,-225.0167174087643,-186.1354908132947
-308.34732728877026,-308.34732728877026,-253.5085347870735,-253.5085347870735,-186.1354908132947
-303.40065934208934,-303.40065934208934,-276.0684805779763,-276.0684805779763,-186.1354908132947
-303.4503810920814,-303.4503810920814,-289.7773374439814,-289.7773374439814,-186.1354908132947
-287.21244819980313,-287.21244819980313,-279.87035058145887,-279.87035058145887,-186.1354908132947
-307.154929212785,-307.154929212785,-291.68889243322167,-291.68889243322167,-186.1354908132947
-300.84819906327505,-300.84819906327505,-296.51415111258876,-296.51415111258876,-186.1354908132947
-311.99680459414174,-311.99680459414174,-292.9043702143882,-292.9043702143882,-186.1354908132947
-300.66962990480204,-300.66962990480204,-312.59583373603516,-301.87689948742644,-186.1354908132947
-316.5734816491862,-316.5734816491862,-318.1760285255869,-296.88194442254195,-186.1354908132947
-309.3392082666329,-309.3392082666329,-329.2167540077087,-305.1705917156446,-186.1354908132947
-313.8349691294158,-313.8349691294158,-333.7653856757996,-310.8348568504493,-186.1354908132947
-290.9513286272679,-290.9513286272679,-329.1544656632332,-311.4591373014809,-186.1354908132947
-310.7242748984209,-310.7242748984209,-326.9427864307474,-313.0057430607102,-186.1354908132947
-310.4239764689886,-310.4239764689886,-347.6524299328348,-319.74216196462123,-186.1354908132947
-304.0058888515681,-304.0058888515681,-334.6410341695945,-315.55119339787325,-186.1354908132947
-300.7788881314446,-300.7788881314446,-323.3905713458241,-310.65963544587055,-186.1354908132947
-302.4849849428725,-302.4849849428725,-331.81910194010254,-312.3617360772454,-186.1354908132947
-308.72119893553304,-308.72119893553304,-323.0227515642473,-311.9463528573412,-186.1354908132947
-298.8951272309554,-298.8951272309554,-328.2367041423224,-311.13410793153304,-186.1354908132947
-310.1358761755914,-310.1358761755914,-315.51765792399937,-309.6693161540597,-186.1354908132947
-304.69203845480365,-304.69203845480365,-297.3608346182406,-305.2206809203623,-186.1354908132947
-308.2401087003529,-308.2401087003529,-296.1527037619379,-305.33656388566374,-186.1354908132947
-260.989679265703,-260.989679265703,-295.98312693160176,-306.45858301105307,-186.1354908132947
-234.80476692673747,-234.80476692673747,-273.0395292611538,-302.4448905929666,-186.1354908132947
-244.09436417010835,-244.09436417010835,-263.5795808863394,-296.98990321518255,-149.70524401501336
-221.86442462398688,-221.86442462398688,-268.5521707988569,-296.1398200503486,-149.70524401501336
-240.79858706197706,-240.79858706197706,-248.7208820021388,-291.14811805220984,-146.38876010618685
-236.3613148887944,-236.3613148887944,-242.8899151210559,-289.67008261982977,-146.38876010618685
-237.17138870500233,-237.17138870500233,-233.33103736220818,-286.820648378619,-146.38876010618685
-236.02232871898167,-236.02232871898167,-224.27009876092058,-283.790765428866,-146.38876010618685
-237.32375638158257,-237.32375638158257,-227.90565581639166,-282.4809676544886,-146.38876010618685
